NOM_ENT,total,normalized,percent_normalized
Sonora,1039,706,67.9
Aguascalientes,1541,1024,66.5
Veracruz de Ignacio de la Llave,1197,792,66.2
Yucatan,1167,767,65.7
Tlaxcala,1260,827,65.6
Nuevo Leon,847,555,65.5
Baja California Sur,945,614,65
Coahuila de Zaragoza,1279,823,64.3
Quintana Roo,1074,683,63.6
Guerrero,1172,735,62.7
Morelos,1216,760,62.5
Jalisco,1422,884,62.2
Oaxaca,1335,830,62.2
Puebla,1698,1052,62
Sinaloa,1164,721,61.9
Durango,1214,743,61.2
Zacatecas,1257,760,60.5
Hidalgo,1270,764,60.2
San Luis Potosi,1135,682,60.1
Queretaro,1299,773,59.5
Baja California,937,556,59.3
Michoacan de Ocampo,1343,797,59.3
Chihuahua,1165,685,58.8
Nayarit,1147,675,58.8
Estado de Mexico,1650,957,58
Colima,1154,667,57.8
Tabasco,1123,647,57.6
Guanajuato,1102,634,57.5
Chiapas,1024,584,57
Campeche,905,515,56.9
Tamaulipas,878,500,56.9
Ciudad de Mexico,1651,936,56.7
