grupo_edad,P1_4_9,GRA_bin,delta_pp,lower_pp,upper_pp,p.value,p_adj_BH,Education,Internet
60-79,No,No,6.337101265785794,4.283952152132529,8.390250379439058,1.4531157776436789e-9,1.3562413924674337e-8,Lower education,No internet
<20,No,No,4.275824756420866,1.5129645712068232,7.038684941634907,0.0024193018409482676,0.0025089056128352405,Lower education,No internet
20-29,No,No,5.40326176956879,3.6820315927555747,7.124491946382006,7.617884796623316e-10,1.0665038715272643e-8,Lower education,No internet
30-39,No,No,4.714422071950331,2.9956978163944523,6.433146327506209,7.610079597384255e-8,2.1308222872675912e-7,Lower education,No internet
40-49,No,No,4.3301035504593415,2.420297592453974,6.2399095084647085,8.837273222623517e-6,1.3023350012287287e-5,Lower education,No internet
50-59,No,No,3.772837961089226,1.7015829368729678,5.844092985305484,3.5681935167998963e-4,4.3438877595824825e-4,Lower education,No internet
>80,No,No,13.66532856389261,8.085992223772804,19.244664904012414,1.5827738135573035e-6,2.9545111186403e-6,Lower education,No internet
60-79,Yes,No,6.253092093728735,4.08902305170947,8.417161135748,1.4846398218503986e-8,6.928319168635194e-8,Lower education,Internet
<20,Yes,No,5.024006939339862,1.9919711331962593,8.056042745483465,0.0011637828401799878,0.0013034367810015864,Lower education,Internet
20-29,Yes,No,5.396180505886844,3.7290321144869485,7.0633288972867385,2.2393584024266507e-10,6.270203526794622e-9,Lower education,Internet
30-39,Yes,No,4.759036557616608,3.087943979432746,6.43012913580047,2.3817665099004345e-8,8.336182784651521e-8,Lower education,Internet
40-49,Yes,No,4.213616316932778,2.446266502660167,5.980966131205389,2.970686518826783e-6,4.892895442773525e-6,Lower education,Internet
50-59,Yes,No,3.7684758016085897,1.7329082192293812,5.804043383987797,2.850619708272759e-4,3.6280614468926027e-4,Lower education,Internet
>80,Yes,No,13.2858752755171,7.8949629536765205,18.67678759735768,1.3631310572993953e-6,2.9342086998902114e-6,Lower education,Internet
60-79,No,Yes,6.57992049068119,4.319133937587695,8.840707043774685,1.167607764107785e-8,6.538603479003596e-8,Higher education,No internet
<20,No,Yes,4.353097666981956,1.425775310484869,7.280420023479042,0.0035616772290691843,0.0035616772290691843,Higher education,No internet
20-29,No,Yes,5.522573023013369,3.5139681622938137,7.531177883732925,7.091507897439104e-8,2.1308222872675912e-7,Higher education,No internet
30-39,No,Yes,4.879800644337645,2.9128983306444103,6.84670295803088,1.1586145891132963e-6,2.703434041264358e-6,Higher education,No internet
40-49,No,Yes,4.541307647630438,2.383197760724686,6.69941753453619,3.717839958714271e-5,5.204975942199979e-5,Higher education,No internet
50-59,No,Yes,4.005917390812774,1.737889473989732,6.273945307635817,5.365803325592231e-4,6.260103879857604e-4,Higher education,No internet
>80,No,Yes,13.902563654576339,8.18682608577366,19.618301223379017,1.8672928673995115e-6,3.267762517949145e-6,Higher education,No internet
60-79,Yes,Yes,6.654629359043546,4.336793793181578,8.972464924905513,1.8319973499740395e-8,7.327989399896158e-8,Higher education,Internet
<20,Yes,Yes,5.5062591787105655,2.0882537328638,8.924264624557331,0.0015917335475223115,0.0017141745896394123,Higher education,Internet
20-29,Yes,Yes,5.8882891330790885,3.8952631149180212,7.881315151240156,7.013161844834902e-9,4.9092132913844315e-8,Higher education,Internet
30-39,Yes,Yes,5.198157720853047,3.268341547302829,7.127973894403265,1.296330965689103e-7,3.299751549026808e-7,Higher education,Internet
40-49,Yes,Yes,4.619729431164882,2.613074829290319,6.626384033039444,6.414712550316592e-6,9.978441744936922e-6,Higher education,Internet
50-59,Yes,Yes,4.141429964139593,1.9284327469880866,6.354427181291097,2.445503199879578e-4,3.2606709331727706e-4,Higher education,Internet
>80,Yes,Yes,13.798458458742019,8.182519371652576,19.414397545831463,1.4671043499451057e-6,2.9342086998902114e-6,Higher education,Internet
