grupo_edad,P1_4_9,GRA_bin,delta_pp,lower_pp,upper_pp,p.value,p_adj_BH,Education,Internet
60-79,No,No,6.26740883869486,3.90738145032574,8.627436227063981,1.9401739270256468e-7,2.3282087124307762e-6,Lower education,No internet
<20,No,No,1.1617331617390203,-2.881901507290692,5.205367830768733,0.5733694058297303,0.6654844527242055,Lower education,No internet
20-29,No,No,4.433402160229746,2.258165094841915,6.608639225617577,6.479016632157658e-5,1.9437049896472975e-4,Lower education,No internet
30-39,No,No,5.058852219550158,2.904219072701304,7.213485366399013,4.188764642405307e-6,2.5132587854431843e-5,Lower education,No internet
40-49,No,No,5.177862676124079,2.7115274070263315,7.644197945221825,3.875506884587716e-5,1.328745217572931e-4,Lower education,No internet
50-59,No,No,4.77622175443887,2.1691262651121797,7.38331724376556,3.2982753538922583e-4,7.196237135764927e-4,Lower education,No internet
>80,No,No,15.01726040909327,8.647433956765301,21.38708686142124,3.823801878461383e-6,2.5132587854431843e-5,Lower education,No internet
60-79,Yes,No,6.666416185609647,3.662110476097222,9.670721895122073,1.3671611350445477e-5,5.697919136721812e-5,Lower education,Internet
<20,Yes,No,7.544902985544999,3.6565173970736544,11.433288574016343,1.429235196908696e-4,3.811293858423189e-4,Lower education,Internet
20-29,Yes,No,6.552471855755526,4.385130412600414,8.719813298910639,3.1132487055836137e-9,7.471796893400672e-8,Lower education,Internet
30-39,Yes,No,4.526457301757003,2.482313577746834,6.570601025767172,1.424479784180453e-5,5.697919136721812e-5,Lower education,Internet
40-49,Yes,No,3.995639053862121,1.8821168826937524,6.10916122503049,2.111111424957705e-4,5.066667419898491e-4,Lower education,Internet
50-59,Yes,No,2.912645028105593,0.3755806996767433,5.449709356534442,0.024441824900445462,0.048883649800890924,Lower education,Internet
>80,Yes,No,9.491822429916997,-1.3365890574385364,20.320233917272528,0.08578955468632982,0.1583807163439935,Lower education,Internet
60-79,No,Yes,-6.126798700460173,-66.40263377975981,54.149036378839455,0.8420886706694325,0.85413597467556,Higher education,No internet
<20,No,Yes,NA,NA,NA,NA,NA,Higher education,No internet
20-29,No,Yes,8.46862807847159,-21.211713080198724,38.148969237141905,0.5760031785612922,0.6654844527242055,Higher education,No internet
30-39,No,Yes,6.6948777893512945,-16.959258279740517,30.349013858443108,0.5790776049201152,0.6654844527242055,Higher education,No internet
40-49,No,Yes,-21.339195183649245,-51.21846049387324,8.54007012657475,0.1615826571816475,0.258532251490636,Higher education,No internet
50-59,No,Yes,12.648877815920834,-25.73209592351037,51.029851555352046,0.5183259960454074,0.6654844527242055,Higher education,No internet
>80,No,Yes,NA,NA,NA,NA,NA,Higher education,No internet
60-79,Yes,Yes,-5.509428316690062,-64.24559243259904,53.22673579921891,0.85413597467556,0.85413597467556,Higher education,Internet
<20,Yes,Yes,NA,NA,NA,NA,NA,Higher education,Internet
20-29,Yes,Yes,10.992288196802779,-18.57308873147463,40.55766512508019,0.46618107868011827,0.6654844527242055,Higher education,Internet
30-39,Yes,Yes,6.17680410748126,-17.559468168212778,29.913076383175298,0.6100274149971885,0.6654844527242055,Higher education,Internet
40-49,Yes,Yes,-22.096300360327415,-50.89661523652451,6.704014515869678,0.13265040584507595,0.2274006957344159,Higher education,Internet
50-59,Yes,Yes,10.706469378768935,-27.621304861799416,49.03424361933729,0.5840381737268756,0.6654844527242055,Higher education,Internet
>80,Yes,Yes,NA,NA,NA,NA,NA,Higher education,Internet
