grupo_edad,P1_4_9,GRA_bin,OR,CI_low,CI_high,p.value,GRA_lab,NET_lab
60-79,No,No,1.302063530791679,1.2015912625706233,1.4109368892968701,1.1774179938857857e-10,Lower education,No internet
<20,No,No,1.302877428978028,1.1057194946798872,1.5351900758807102,0.0015754372086047798,Lower education,No internet
20-29,No,No,1.3194750211191908,1.213014146436792,1.4352794948613652,1.0538924158551215e-10,Lower education,No internet
30-39,No,No,1.2531748492715094,1.1603233230666354,1.3534565509690113,9.145451807019938e-9,Lower education,No internet
40-49,No,No,1.2136493593130513,1.1207019469075483,1.3143055309446066,1.9059606029413607e-6,Lower education,No internet
50-59,No,No,1.1773110173207841,1.0823483238338956,1.2806055139395345,1.4227881221311176e-4,Lower education,No internet
>80,No,No,1.7408943833059678,1.3862099071605516,2.186330683521257,1.8473368232704823e-6,Lower education,No internet
60-79,Yes,No,1.304185577002536,1.195596156738768,1.4226375768060249,2.12962762084504e-9,Lower education,Internet
<20,Yes,No,1.305000801644562,1.1099009358417509,1.534395581891613,0.0012729418939904805,Lower education,Internet
20-29,Yes,No,1.3216254438156807,1.2139349082316178,1.438869417047629,1.2720533979353912e-10,Lower education,Internet
30-39,Yes,No,1.255217218846841,1.163399712211123,1.3542811210560777,4.4917455664777014e-9,Lower education,Internet
40-49,Yes,No,1.2156273119730672,1.1257704720041521,1.3126563525725643,6.241399665010955e-7,Lower education,Internet
50-59,Yes,No,1.1792297473398843,1.0843744173415049,1.2823825191491467,1.165838556416826e-4,Lower education,Internet
>80,Yes,No,1.7437316168527444,1.3819290128620056,2.200257700151136,2.7813926669742976e-6,Lower education,Internet
60-79,No,Yes,1.1414471069313001,0.6135355536259732,2.123595756141162,0.6761863918704907,Higher education,No internet
<20,No,Yes,1.1421606064712035,0.6033279736449731,2.1622250383873554,0.6831245238109089,Higher education,No internet
20-29,No,Yes,1.1567107978278701,0.6220214691399251,2.151018793067746,0.6455551716284398,Higher education,No internet
30-39,No,Yes,1.0985891028760344,0.5917264100775195,2.039621683946572,0.7658201299140943,Higher education,No internet
40-49,No,Yes,1.0639392911762224,0.5724954149226971,1.97725044743181,0.8445995097305335,Higher education,No internet
50-59,No,Yes,1.0320834758823756,0.5547077373074597,1.9202838351595526,0.9205931063576553,Higher education,No internet
>80,No,Yes,1.5261458525678309,0.7913933343228243,2.9430639130957084,0.2070565310731952,Higher education,No internet
60-79,Yes,Yes,1.1433073875173667,0.6155062420686872,2.123701910736943,0.6716448597953242,Higher education,Internet
<20,Yes,Yes,1.144022049887623,0.6061009166031672,2.159354019729987,0.6780485412199999,Higher education,Internet
20-29,Yes,Yes,1.158595954509968,0.6245055728432143,2.1494517329853626,0.6405967901211242,Higher education,Internet
30-39,Yes,Yes,1.1003795353610217,0.5942392788741925,2.037622158089765,0.7609082575536663,Higher education,Internet
40-49,Yes,Yes,1.065673252913135,0.5750618264807631,1.974847624514427,0.8398453802170422,Higher education,Internet
50-59,Yes,Yes,1.033765520404391,0.5570063968126815,1.9185976270508618,0.9161758151690661,Higher education,Internet
>80,Yes,Yes,1.5286330983489083,0.7932222620450111,2.9458567430312326,0.20484314873027515,Higher education,Internet
