grupo_edad,P1_4_9,GRA_bin,OR,CI_low,CI_high,p.value,Education,Internet
60-79,No,No,1.2920636068375861,1.1731927001773,1.4229788199857178,1.953160753413104e-7,Lower education,No internet
<20,No,No,1.0759195574166682,0.8359819610507927,1.3847223360856054,0.5697612263849584,Lower education,No internet
20-29,No,No,1.2534845098099319,1.1240792692436514,1.3977870238552301,4.826982452912469e-5,Lower education,No internet
30-39,No,No,1.2688870571317001,1.1484068124405784,1.4020069772440995,2.8901526935105136e-6,Lower education,No internet
40-49,No,No,1.2527890709048484,1.1263231921945793,1.3934547979257943,3.310540169602037e-5,Lower education,No internet
50-59,No,No,1.2244417874081137,1.096828724026826,1.366902286481793,3.11173240073593e-4,Lower education,No internet
>80,No,No,1.8374980355185973,1.4142857759871026,2.3873527457194013,5.234493904060244e-6,Lower education,No internet
60-79,Yes,No,1.3189270546021274,1.1625018149626074,1.496400739311876,1.7261068452509895e-5,Lower education,Internet
<20,Yes,No,1.494488188977859,1.210137530387461,1.8456538128184505,1.9052390582184023e-4,Lower education,Internet
20-29,Yes,No,1.39549446688271,1.2464058544056913,1.5624162869716436,7.429298053434903e-9,Lower education,Internet
30-39,Yes,No,1.23414449853961,1.1211101854224563,1.3585753328087433,1.7665714644962095e-5,Lower education,Internet
40-49,Yes,No,1.196358874564135,1.0873132506197685,1.316340581642445,2.363229373768585e-4,Lower education,Internet
50-59,Yes,No,1.1323993530980152,1.0156380782427632,1.2625839089407342,0.025127392338580343,Lower education,Internet
>80,Yes,No,1.4779411764712476,0.9377700514752122,2.329259841123165,0.09234854735565377,Lower education,Internet
60-79,No,Yes,0.7712068662684362,0.056360664585080565,10.552750485788678,0.8456802683371698,Higher education,No internet
<20,No,Yes,NA,NA,NA,NA,Higher education,No internet
20-29,No,Yes,1.4328628935034682,0.409910248369874,5.008647819233254,0.5732394152963475,Higher education,No internet
30-39,No,Yes,1.3669803774124776,0.4662677586249225,4.007644358129289,0.5689291307378245,Higher education,No internet
40-49,No,Yes,0.4143630718838298,0.111208518679251,1.5439172950069937,0.18925531901985396,Higher education,No internet
50-59,No,Yes,1.6716753262654767,0.349578931650887,7.993898211336035,0.5198588155592898,Higher education,No internet
>80,No,Yes,NA,NA,NA,NA,Higher education,No internet
60-79,Yes,Yes,0.7872411197355427,0.05765545311931077,10.74917543913806,0.8576526369275601,Higher education,Internet
<20,Yes,Yes,NA,NA,NA,NA,Higher education,Internet
20-29,Yes,Yes,1.5951950136095703,0.45861027183322717,5.5486047472791755,0.46278874880803794,Higher education,Internet
30-39,Yes,Yes,1.3295519903944506,0.45627727033163595,3.874198015336205,0.6016684521949134,Higher education,Internet
40-49,Yes,Yes,0.3956986454087032,0.10674348255559853,1.4668569380498482,0.16548689847826323,Higher education,Internet
50-59,Yes,Yes,1.5460139285674264,0.32459283388168303,7.363560799360474,0.5843238871993164,Higher education,Internet
>80,Yes,Yes,NA,NA,NA,NA,Higher education,Internet
