Education,Internet,Age group,2016 % (95% CI),2021 % (95% CI),Δ pp (95% CI),BH p-value
Lower education,No internet,<20,20.2 (18.5–21.9),26.5 (24.3–28.8),"6.3 (3.5, 9.2)",p<0.001
Lower education,No internet,20-29,24.5 (23.5–25.5),30.1 (28.8–31.3),"5.5 (3.9, 7.2)",p<0.001
Lower education,No internet,30-39,28.6 (27.6–29.6),33.6 (32.3–34.9),"5.0 (3.4, 6.6)",p<0.001
Lower education,No internet,40-49,32.9 (31.7–34.0),36.5 (35.2–37.9),"3.7 (1.9, 5.5)",p<0.001
Lower education,No internet,50-59,36.0 (34.7–37.4),39.6 (38.1–41.0),"3.5 (1.5, 5.5)",p<0.001
Lower education,No internet,60-79,39.2 (37.8–40.6),44.8 (43.4–46.3),"5.7 (3.7, 7.7)",p<0.001
Lower education,No internet,>80,38.7 (34.8–42.7),51.1 (47.5–54.8),"12.4 (7.0, 17.8)",p<0.001
Lower education,Internet,<20,19.9 (18.2–21.6),25.9 (23.8–28.1),"6.0 (3.3, 8.8)",p<0.001
Lower education,Internet,20-29,24.1 (23.0–25.3),29.4 (28.2–30.6),"5.3 (3.6, 6.9)",p<0.001
Lower education,Internet,30-39,28.2 (27.1–29.4),32.9 (31.8–34.1),"4.7 (3.1, 6.3)",p<0.001
Lower education,Internet,40-49,32.4 (31.2–33.7),35.8 (34.6–37.0),"3.4 (1.6, 5.2)",p<0.001
Lower education,Internet,50-59,35.6 (34.1–37.1),38.8 (37.5–40.2),"3.2 (1.2, 5.3)",p=0.00
Lower education,Internet,60-79,38.7 (37.1–40.3),44.1 (42.6–45.5),"5.4 (3.2, 7.5)",p<0.001
Lower education,Internet,>80,38.3 (34.3–42.3),50.4 (46.6–54.1),"12.1 (6.6, 17.6)",p<0.001
Higher education,No internet,<20,20.3 (18.4–22.2),27.6 (25.2–30.1),"7.3 (4.2, 10.5)",p<0.001
Higher education,No internet,20-29,24.6 (23.4–25.8),31.3 (29.7–32.8),"6.6 (4.7, 8.6)",p<0.001
Higher education,No internet,30-39,28.7 (27.5–29.9),34.9 (33.4–36.4),"6.2 (4.2, 8.1)",p<0.001
Higher education,No internet,40-49,33.0 (31.6–34.3),37.8 (36.3–39.4),"4.9 (2.8, 7.0)",p<0.001
Higher education,No internet,50-59,36.2 (34.7–37.6),40.9 (39.3–42.6),"4.8 (2.5, 7.0)",p<0.001
Higher education,No internet,60-79,39.3 (37.7–40.8),46.2 (44.6–47.8),"7.0 (4.7, 9.2)",p<0.001
Higher education,No internet,>80,38.9 (34.8–42.9),52.5 (48.8–56.3),"13.7 (8.1, 19.2)",p<0.001
Higher education,Internet,<20,20.0 (18.1–21.8),27.0 (24.6–29.4),"7.1 (4.0, 10.1)",p<0.001
Higher education,Internet,20-29,24.2 (22.9–25.5),30.6 (29.2–32.0),"6.4 (4.5, 8.2)",p<0.001
Higher education,Internet,30-39,28.3 (27.0–29.6),34.2 (32.8–35.5),"5.9 (4.0, 7.7)",p<0.001
Higher education,Internet,40-49,32.5 (31.1–33.9),37.1 (35.7–38.5),"4.6 (2.6, 6.5)",p<0.001
Higher education,Internet,50-59,35.7 (34.2–37.2),40.2 (38.7–41.7),"4.5 (2.3, 6.6)",p<0.001
Higher education,Internet,60-79,38.8 (37.1–40.5),45.5 (43.9–47.0),"6.7 (4.4, 8.9)",p<0.001
Higher education,Internet,>80,38.4 (34.3–42.5),51.8 (48.0–55.5),"13.4 (7.8, 19.0)",p<0.001
